


batch_size 100, learning rate 0.0005, coeff 1.0
train epoch 0, iteration 0, loss -2.0859322547912598
validation epoch 0, iteration 0, loss 2.281073699951172
train epoch 0, iteration 50, loss -4.703912258148193
train epoch 0, iteration 100, loss -5.212456226348877
validation epoch 0, iteration 100, loss 0.3815927991867065
train epoch 0, iteration 150, loss -5.544297218322754
train epoch 0, iteration 200, loss -5.716564655303955
validation epoch 0, iteration 200, loss 0.30172701139450075
train epoch 0, iteration 250, loss -5.917543888092041
train epoch 0, iteration 300, loss -6.179411888122559
validation epoch 0, iteration 300, loss 0.2717537755966187
train epoch 0, iteration 350, loss -6.140439987182617
train epoch 0, iteration 400, loss -6.395239353179932
validation epoch 0, iteration 400, loss 0.2459474856376648
train epoch 0, iteration 450, loss -6.52183723449707
train epoch 0, iteration 500, loss -6.66448974609375
validation epoch 0, iteration 500, loss 0.21793318147659302
train epoch 0, iteration 550, loss -6.848624229431152
train epoch 1, iteration 0, loss -6.86671257019043
validation epoch 1, iteration 0, loss 0.20254616408348083
train epoch 1, iteration 50, loss -7.04930305480957
train epoch 1, iteration 100, loss -7.148562908172607
validation epoch 1, iteration 100, loss 0.18689090094566346
train epoch 1, iteration 150, loss -7.269882678985596
train epoch 1, iteration 200, loss -7.250795364379883
validation epoch 1, iteration 200, loss 0.18841357660293578
train epoch 1, iteration 250, loss -7.321042060852051
train epoch 1, iteration 300, loss -7.522922515869141
validation epoch 1, iteration 300, loss 0.17573669714927673
train epoch 1, iteration 350, loss -7.575867176055908
train epoch 1, iteration 400, loss -7.412539958953857
validation epoch 1, iteration 400, loss 0.16623206396102905
train epoch 1, iteration 450, loss -7.63280725479126
train epoch 1, iteration 500, loss -7.650141716003418
validation epoch 1, iteration 500, loss 0.15622391259670257
train epoch 1, iteration 550, loss -7.807610988616943
train epoch 2, iteration 0, loss -7.867794036865234
validation epoch 2, iteration 0, loss 0.15136137447357179
train epoch 2, iteration 50, loss -7.98010778427124
train epoch 2, iteration 100, loss -8.026695251464844
validation epoch 2, iteration 100, loss 0.14091292734146119
train epoch 2, iteration 150, loss -8.084809303283691
train epoch 2, iteration 200, loss -8.102771759033203
validation epoch 2, iteration 200, loss 0.15282393255233764
train epoch 2, iteration 250, loss -8.107994079589844
train epoch 2, iteration 300, loss -8.194994926452637
validation epoch 2, iteration 300, loss 0.13752339491844176
train epoch 2, iteration 350, loss -8.133735656738281
train epoch 2, iteration 400, loss -7.998993396759033
validation epoch 2, iteration 400, loss 0.13015721592903137
train epoch 2, iteration 450, loss -8.304380416870117
train epoch 2, iteration 500, loss -8.292586326599121
validation epoch 2, iteration 500, loss 0.1343779961824417
train epoch 2, iteration 550, loss -8.235872268676758
train epoch 3, iteration 0, loss -8.376615524291992
validation epoch 3, iteration 0, loss 0.1262818274974823
train epoch 3, iteration 50, loss -8.331008911132812
train epoch 3, iteration 100, loss -8.378630638122559
validation epoch 3, iteration 100, loss 0.12828798072338105
train epoch 3, iteration 150, loss -8.39045238494873
train epoch 3, iteration 200, loss -8.400727272033691
validation epoch 3, iteration 200, loss 0.11994943668842316
train epoch 3, iteration 250, loss -8.44050121307373
train epoch 3, iteration 300, loss -8.512648582458496
validation epoch 3, iteration 300, loss 0.12094807193279267
train epoch 3, iteration 350, loss -8.430952072143555
train epoch 3, iteration 400, loss -8.475713729858398
validation epoch 3, iteration 400, loss 0.11962479360103608
train epoch 3, iteration 450, loss -8.5282564163208
train epoch 3, iteration 500, loss -8.521793365478516
validation epoch 3, iteration 500, loss 0.11292795779705048
train epoch 3, iteration 550, loss -8.597455024719238
train epoch 4, iteration 0, loss -8.572467803955078
validation epoch 4, iteration 0, loss 0.11395509371757508
train epoch 4, iteration 50, loss -8.581228256225586
train epoch 4, iteration 100, loss -8.603177070617676
validation epoch 4, iteration 100, loss 0.1117114830493927
train epoch 4, iteration 150, loss -8.616171836853027
train epoch 4, iteration 200, loss -8.582727432250977
validation epoch 4, iteration 200, loss 0.10823449048995971
train epoch 4, iteration 250, loss -8.536924362182617
train epoch 4, iteration 300, loss -8.658136367797852
validation epoch 4, iteration 300, loss 0.12274059611558914
train epoch 4, iteration 350, loss -8.671856880187988
train epoch 4, iteration 400, loss -8.658684730529785
validation epoch 4, iteration 400, loss 0.10678990042209625
train epoch 4, iteration 450, loss -8.72276496887207
train epoch 4, iteration 500, loss -8.65090274810791
validation epoch 4, iteration 500, loss 0.116424951338768
train epoch 4, iteration 550, loss -8.72290325164795
train epoch 5, iteration 0, loss -8.738717079162598
validation epoch 5, iteration 0, loss 0.10681391630172729
train epoch 5, iteration 50, loss -8.703361511230469
train epoch 5, iteration 100, loss -8.752602577209473
validation epoch 5, iteration 100, loss 0.09905495774745941
train epoch 5, iteration 150, loss -8.752405166625977
train epoch 5, iteration 200, loss -8.75096607208252
validation epoch 5, iteration 200, loss 0.10679224848747254
train epoch 5, iteration 250, loss -8.723149299621582
train epoch 5, iteration 300, loss -8.802401542663574
validation epoch 5, iteration 300, loss 0.10049699397087097
train epoch 5, iteration 350, loss -8.787385940551758
train epoch 5, iteration 400, loss -8.766694068908691
validation epoch 5, iteration 400, loss 0.09968982557058334
train epoch 5, iteration 450, loss -8.832369804382324
train epoch 5, iteration 500, loss -8.657703399658203
validation epoch 5, iteration 500, loss 0.09842453955411912
train epoch 5, iteration 550, loss -8.862030982971191
train epoch 6, iteration 0, loss -8.85082721710205
validation epoch 6, iteration 0, loss 0.10038054976463318
train epoch 6, iteration 50, loss -8.85775089263916
train epoch 6, iteration 100, loss -8.877985000610352
validation epoch 6, iteration 100, loss 0.1042654207110405
train epoch 6, iteration 150, loss -8.834513664245605
train epoch 6, iteration 200, loss -8.858646392822266
validation epoch 6, iteration 200, loss 0.09685327470302582
train epoch 6, iteration 250, loss -8.86770248413086
train epoch 6, iteration 300, loss -8.89139461517334
validation epoch 6, iteration 300, loss 0.10657602617740632
train epoch 6, iteration 350, loss -8.910317420959473
train epoch 6, iteration 400, loss -8.781036376953125
validation epoch 6, iteration 400, loss 0.09990668870806695
train epoch 6, iteration 450, loss -8.935154914855957
train epoch 6, iteration 500, loss -8.877463340759277
validation epoch 6, iteration 500, loss 0.10094104319810868
train epoch 6, iteration 550, loss -8.841790199279785
train epoch 7, iteration 0, loss -8.895750045776367
validation epoch 7, iteration 0, loss 0.09445087165236474
train epoch 7, iteration 50, loss -8.926673889160156
train epoch 7, iteration 100, loss -8.949492454528809
validation epoch 7, iteration 100, loss 0.08991800376176834
train epoch 7, iteration 150, loss -8.886136054992676
train epoch 7, iteration 200, loss -8.94783878326416
validation epoch 7, iteration 200, loss 0.09589664418697358
train epoch 7, iteration 250, loss -8.981422424316406
train epoch 7, iteration 300, loss -8.978178024291992
validation epoch 7, iteration 300, loss 0.10226876108646393
train epoch 7, iteration 350, loss -8.944344520568848
train epoch 7, iteration 400, loss -8.989482879638672
validation epoch 7, iteration 400, loss 0.09294729237556458
train epoch 7, iteration 450, loss -8.996025085449219
train epoch 7, iteration 500, loss -8.978004455566406
validation epoch 7, iteration 500, loss 0.10035420674085617
train epoch 7, iteration 550, loss -9.021678924560547
train epoch 8, iteration 0, loss -9.005346298217773
validation epoch 8, iteration 0, loss 0.09125942374467849
train epoch 8, iteration 50, loss -9.011960983276367
train epoch 8, iteration 100, loss -9.027533531188965
validation epoch 8, iteration 100, loss 0.09114749712944031
train epoch 8, iteration 150, loss -9.018843650817871
train epoch 8, iteration 200, loss -9.02367877960205
validation epoch 8, iteration 200, loss 0.0961370773434639
train epoch 8, iteration 250, loss -9.041029930114746
train epoch 8, iteration 300, loss -9.0651273727417
validation epoch 8, iteration 300, loss 0.09399644043445587
train epoch 8, iteration 350, loss -9.012380599975586
train epoch 8, iteration 400, loss -9.028852462768555
validation epoch 8, iteration 400, loss 0.09575442804098129
train epoch 8, iteration 450, loss -9.063177108764648
train epoch 8, iteration 500, loss -9.0886812210083
validation epoch 8, iteration 500, loss 0.08848039515018463
train epoch 8, iteration 550, loss -9.07565975189209
train epoch 9, iteration 0, loss -9.030664443969727
validation epoch 9, iteration 0, loss 0.09679994611740113
train epoch 9, iteration 50, loss -9.09244155883789
train epoch 9, iteration 100, loss -9.077886581420898
validation epoch 9, iteration 100, loss 0.08939691542387009
train epoch 9, iteration 150, loss -9.061784744262695
train epoch 9, iteration 200, loss -9.078190803527832
validation epoch 9, iteration 200, loss 0.09388717244267464
train epoch 9, iteration 250, loss -9.122857093811035
train epoch 9, iteration 300, loss -9.083739280700684
validation epoch 9, iteration 300, loss 0.0886480043321848
train epoch 9, iteration 350, loss -9.115799903869629
train epoch 9, iteration 400, loss -9.093029975891113
validation epoch 9, iteration 400, loss 0.09178696314692497
train epoch 9, iteration 450, loss -9.104532241821289
train epoch 9, iteration 500, loss -9.118551254272461
validation epoch 9, iteration 500, loss 0.09530634739398956
train epoch 9, iteration 550, loss -9.148140907287598
train epoch 10, iteration 0, loss -9.11899185180664
validation epoch 10, iteration 0, loss 0.0876412311732769
train epoch 10, iteration 50, loss -9.142942428588867
train epoch 10, iteration 100, loss -9.161773681640625
validation epoch 10, iteration 100, loss 0.09492456261515618
train epoch 10, iteration 150, loss -9.14745044708252
train epoch 10, iteration 200, loss -9.142341613769531
validation epoch 10, iteration 200, loss 0.09368997069597244
train epoch 10, iteration 250, loss -9.159667015075684
train epoch 10, iteration 300, loss -9.130744934082031
validation epoch 10, iteration 300, loss 0.09203297201395035
train epoch 10, iteration 350, loss -9.177063941955566
train epoch 10, iteration 400, loss -9.145731925964355
validation epoch 10, iteration 400, loss 0.0934120875120163
train epoch 10, iteration 450, loss -9.1514892578125
train epoch 10, iteration 500, loss -9.177534103393555
validation epoch 10, iteration 500, loss 0.0903335531949997
train epoch 10, iteration 550, loss -9.177172660827637
train epoch 11, iteration 0, loss -9.195956230163574
validation epoch 11, iteration 0, loss 0.08815235638022423
train epoch 11, iteration 50, loss -9.202047348022461
train epoch 11, iteration 100, loss -9.201387405395508
validation epoch 11, iteration 100, loss 0.08985771586298942
train epoch 11, iteration 150, loss -9.144682884216309
train epoch 11, iteration 200, loss -9.171455383300781
validation epoch 11, iteration 200, loss 0.0941256125330925
train epoch 11, iteration 250, loss -9.194872856140137
train epoch 11, iteration 300, loss -9.148566246032715
validation epoch 11, iteration 300, loss 0.10061116771697998
train epoch 11, iteration 350, loss -9.174985885620117
train epoch 11, iteration 400, loss -9.2045316696167
validation epoch 11, iteration 400, loss 0.0935499952673912
train epoch 11, iteration 450, loss -9.101187705993652
train epoch 11, iteration 500, loss -9.21799087524414
validation epoch 11, iteration 500, loss 0.0943701946735382
train epoch 11, iteration 550, loss -9.190449714660645
train epoch 12, iteration 0, loss -9.183202743530273
validation epoch 12, iteration 0, loss 0.09277934642136097
train epoch 12, iteration 50, loss -9.202613830566406
train epoch 12, iteration 100, loss -9.213407516479492
validation epoch 12, iteration 100, loss 0.09038545885682106
train epoch 12, iteration 150, loss -9.222023010253906
train epoch 12, iteration 200, loss -9.218302726745605
validation epoch 12, iteration 200, loss 0.09109657324552536
train epoch 12, iteration 250, loss -9.213308334350586
train epoch 12, iteration 300, loss -9.152552604675293
validation epoch 12, iteration 300, loss 0.09470337287187576
train epoch 12, iteration 350, loss -9.198716163635254
train epoch 12, iteration 400, loss -9.216947555541992
validation epoch 12, iteration 400, loss 0.09005473881661892
train epoch 12, iteration 450, loss -9.235302925109863
train epoch 12, iteration 500, loss -9.240029335021973
validation epoch 12, iteration 500, loss 0.09534915224015712
train epoch 12, iteration 550, loss -9.165884971618652
train epoch 13, iteration 0, loss -9.237862586975098
validation epoch 13, iteration 0, loss 0.09334691056609154
train epoch 13, iteration 50, loss -9.227516174316406
train epoch 13, iteration 100, loss -9.238913536071777
validation epoch 13, iteration 100, loss 0.09509282045066357
train epoch 13, iteration 150, loss -9.233880996704102
train epoch 13, iteration 200, loss -9.249926567077637
validation epoch 13, iteration 200, loss 0.08993182984590531
train epoch 13, iteration 250, loss -9.24748706817627
train epoch 13, iteration 300, loss -9.245721817016602
validation epoch 13, iteration 300, loss 0.08395125376582145
train epoch 13, iteration 350, loss -9.223320960998535
