


batch_size 100, learning rate 5e-05, coeff 100.0
train epoch 0, iteration 0, loss -441.5632629394531
validation epoch 0, iteration 0, loss 2.3461100830078125
train epoch 0, iteration 50, loss -461.032958984375
train epoch 0, iteration 100, loss -480.0032958984375
validation epoch 0, iteration 100, loss 2.2433200302124026
train epoch 0, iteration 150, loss -497.17510986328125
train epoch 0, iteration 200, loss -511.8278503417969
validation epoch 0, iteration 200, loss 2.1199140701293944
train epoch 0, iteration 250, loss -524.331787109375
train epoch 0, iteration 300, loss -535.25732421875
validation epoch 0, iteration 300, loss 1.9809580474853516
train epoch 0, iteration 350, loss -545.0335083007812
train epoch 0, iteration 400, loss -553.92138671875
validation epoch 0, iteration 400, loss 1.8272632385253906
train epoch 0, iteration 450, loss -562.2178955078125
train epoch 0, iteration 500, loss -569.8593139648438
validation epoch 0, iteration 500, loss 1.665151641845703
train epoch 0, iteration 550, loss -577.072021484375
train epoch 1, iteration 0, loss -583.8419799804688
validation epoch 1, iteration 0, loss 1.5101275634765625
train epoch 1, iteration 50, loss -590.369873046875
train epoch 1, iteration 100, loss -596.5342407226562
validation epoch 1, iteration 100, loss 1.3688230545043945
train epoch 1, iteration 150, loss -602.3475341796875
train epoch 1, iteration 200, loss -608.0885620117188
validation epoch 1, iteration 200, loss 1.242589574432373
train epoch 1, iteration 250, loss -613.4850463867188
train epoch 1, iteration 300, loss -618.8048095703125
validation epoch 1, iteration 300, loss 1.1324380790710449
train epoch 1, iteration 350, loss -623.8513793945312
train epoch 1, iteration 400, loss -628.8240966796875
validation epoch 1, iteration 400, loss 1.0391856506347656
train epoch 1, iteration 450, loss -633.5772705078125
train epoch 1, iteration 500, loss -638.1557006835938
validation epoch 1, iteration 500, loss 0.9601286834716797
train epoch 1, iteration 550, loss -642.7970581054688
train epoch 2, iteration 0, loss -647.1773071289062
validation epoch 2, iteration 0, loss 0.8926480255126953
train epoch 2, iteration 50, loss -651.399169921875
train epoch 2, iteration 100, loss -655.765380859375
validation epoch 2, iteration 100, loss 0.8341317649841309
train epoch 2, iteration 150, loss -659.7872314453125
train epoch 2, iteration 200, loss -663.92822265625
validation epoch 2, iteration 200, loss 0.7849126316070557
train epoch 2, iteration 250, loss -667.7423095703125
train epoch 2, iteration 300, loss -671.5780639648438
validation epoch 2, iteration 300, loss 0.743555269241333
train epoch 2, iteration 350, loss -675.302978515625
train epoch 2, iteration 400, loss -679.0771484375
validation epoch 2, iteration 400, loss 0.7061023849487305
train epoch 2, iteration 450, loss -682.5573120117188
train epoch 2, iteration 500, loss -686.0753784179688
