


batch_size 100, learning rate 0.0005, coeff 1.0
train epoch 0, iteration 0, loss -0.7902603149414062
validation epoch 0, iteration 0, loss 2.2220922256469726
train epoch 0, iteration 50, loss -3.61614990234375
train epoch 0, iteration 100, loss -4.164578437805176
validation epoch 0, iteration 100, loss 0.35340437870025637
train epoch 0, iteration 150, loss -4.5942583084106445
train epoch 0, iteration 200, loss -4.912754535675049
validation epoch 0, iteration 200, loss 0.31944668645858765
train epoch 0, iteration 250, loss -5.121523380279541
train epoch 0, iteration 300, loss -5.337391376495361
validation epoch 0, iteration 300, loss 0.28263832597732547
train epoch 0, iteration 350, loss -5.413127422332764
train epoch 0, iteration 400, loss -5.510775089263916
validation epoch 0, iteration 400, loss 0.2509861958503723
train epoch 0, iteration 450, loss -5.6931281089782715
train epoch 0, iteration 500, loss -5.847751140594482
validation epoch 0, iteration 500, loss 0.21027447595596313
train epoch 0, iteration 550, loss -6.045217514038086
train epoch 1, iteration 0, loss -6.168785095214844
validation epoch 1, iteration 0, loss 0.19640736203193665
train epoch 1, iteration 50, loss -6.241508960723877
train epoch 1, iteration 100, loss -6.366124153137207
validation epoch 1, iteration 100, loss 0.18027990927696227
train epoch 1, iteration 150, loss -6.428631782531738
train epoch 1, iteration 200, loss -6.28536319732666
validation epoch 1, iteration 200, loss 0.16807397632598878
train epoch 1, iteration 250, loss -6.5822038650512695
train epoch 1, iteration 300, loss -6.667595863342285
validation epoch 1, iteration 300, loss 0.15469811713695525
train epoch 1, iteration 350, loss -6.6937665939331055
train epoch 1, iteration 400, loss -6.85812520980835
validation epoch 1, iteration 400, loss 0.14260476870536803
train epoch 1, iteration 450, loss -6.774330139160156
train epoch 1, iteration 500, loss -6.82489013671875
validation epoch 1, iteration 500, loss 0.12833308935165405
train epoch 1, iteration 550, loss -7.041737079620361
train epoch 2, iteration 0, loss -7.080570220947266
validation epoch 2, iteration 0, loss 0.12477403674125671
train epoch 2, iteration 50, loss -7.058913707733154
train epoch 2, iteration 100, loss -7.160998344421387
validation epoch 2, iteration 100, loss 0.11425460357666016
train epoch 2, iteration 150, loss -7.141327381134033
train epoch 2, iteration 200, loss -7.228684425354004
validation epoch 2, iteration 200, loss 0.11708480410575867
train epoch 2, iteration 250, loss -7.3082194328308105
train epoch 2, iteration 300, loss -7.336625576019287
validation epoch 2, iteration 300, loss 0.1126292829990387
train epoch 2, iteration 350, loss -7.3344407081604
train epoch 2, iteration 400, loss -7.489358425140381
validation epoch 2, iteration 400, loss 0.10802808808088303
train epoch 2, iteration 450, loss -7.454971790313721
train epoch 2, iteration 500, loss -7.514240264892578
validation epoch 2, iteration 500, loss 0.09943274477720261
train epoch 2, iteration 550, loss -7.579918384552002
train epoch 3, iteration 0, loss -7.621601104736328
validation epoch 3, iteration 0, loss 0.0908643360733986
train epoch 3, iteration 50, loss -7.686474800109863
train epoch 3, iteration 100, loss -7.728592395782471
validation epoch 3, iteration 100, loss 0.09776885941028594
train epoch 3, iteration 150, loss -7.799947738647461
train epoch 3, iteration 200, loss -7.544477939605713
validation epoch 3, iteration 200, loss 0.09413151364326477
train epoch 3, iteration 250, loss -7.796335220336914
train epoch 3, iteration 300, loss -7.8786396980285645
validation epoch 3, iteration 300, loss 0.0905362067937851
train epoch 3, iteration 350, loss -7.911962985992432
train epoch 3, iteration 400, loss -7.909864902496338
validation epoch 3, iteration 400, loss 0.09111137610673904
train epoch 3, iteration 450, loss -7.908866882324219
train epoch 3, iteration 500, loss -8.041753768920898
validation epoch 3, iteration 500, loss 0.09472129614949226
train epoch 3, iteration 550, loss -8.061238288879395
train epoch 4, iteration 0, loss -8.084922790527344
validation epoch 4, iteration 0, loss 0.08726802735328675
train epoch 4, iteration 50, loss -8.11872673034668
train epoch 4, iteration 100, loss -8.06369686126709
validation epoch 4, iteration 100, loss 0.09034724415540696
train epoch 4, iteration 150, loss -8.185282707214355
train epoch 4, iteration 200, loss -8.172849655151367
validation epoch 4, iteration 200, loss 0.08726327293515206
train epoch 4, iteration 250, loss -8.211750030517578
train epoch 4, iteration 300, loss -8.211353302001953
validation epoch 4, iteration 300, loss 0.0810235784471035
train epoch 4, iteration 350, loss -8.308306694030762
train epoch 4, iteration 400, loss -8.218528747558594
validation epoch 4, iteration 400, loss 0.09188414445519447
train epoch 4, iteration 450, loss -8.342235565185547
train epoch 4, iteration 500, loss -8.38283920288086
validation epoch 4, iteration 500, loss 0.08693714962005615
train epoch 4, iteration 550, loss -8.390752792358398
train epoch 5, iteration 0, loss -8.430217742919922
validation epoch 5, iteration 0, loss 0.0841955785959959
train epoch 5, iteration 50, loss -8.471845626831055
train epoch 5, iteration 100, loss -8.514754295349121
validation epoch 5, iteration 100, loss 0.08203548018932343
train epoch 5, iteration 150, loss -8.403631210327148
train epoch 5, iteration 200, loss -8.48703670501709
validation epoch 5, iteration 200, loss 0.08183214708268642
train epoch 5, iteration 250, loss -8.585988998413086
train epoch 5, iteration 300, loss -8.610513687133789
validation epoch 5, iteration 300, loss 0.08949077154397965
train epoch 5, iteration 350, loss -8.550960540771484
train epoch 5, iteration 400, loss -8.623112678527832
validation epoch 5, iteration 400, loss 0.08410675055384637
train epoch 5, iteration 450, loss -8.661943435668945
train epoch 5, iteration 500, loss -8.698492050170898
