


batch_size 100, learning rate 0.0005, coeff 1.0
train epoch 0, iteration 0, loss -2.1379456520080566
validation epoch 0, iteration 0, loss 2.1643340026855467
train epoch 0, iteration 50, loss -4.127918720245361
train epoch 0, iteration 100, loss -4.7450761795043945
validation epoch 0, iteration 100, loss 0.6017871810913086
train epoch 0, iteration 150, loss -4.93963623046875
train epoch 0, iteration 200, loss -5.2137346267700195
validation epoch 0, iteration 200, loss 0.5329922998428345
train epoch 0, iteration 250, loss -5.378875255584717
train epoch 0, iteration 300, loss -5.5621018409729
validation epoch 0, iteration 300, loss 0.5382470481872559
train epoch 0, iteration 350, loss -5.7046918869018555
train epoch 0, iteration 400, loss -5.662531852722168
validation epoch 0, iteration 400, loss 0.47916787300109864
train epoch 0, iteration 450, loss -5.827639102935791
train epoch 0, iteration 500, loss -5.898316860198975
validation epoch 0, iteration 500, loss 0.47514473304748533
train epoch 0, iteration 550, loss -5.978989124298096
train epoch 1, iteration 0, loss -6.127683639526367
validation epoch 1, iteration 0, loss 0.4764926181793213
train epoch 1, iteration 50, loss -5.902571678161621
train epoch 1, iteration 100, loss -6.432928085327148
validation epoch 1, iteration 100, loss 0.4430875249862671
train epoch 1, iteration 150, loss -6.473622798919678
train epoch 1, iteration 200, loss -6.405807971954346
validation epoch 1, iteration 200, loss 0.4560205121994019
train epoch 1, iteration 250, loss -6.552501678466797
train epoch 1, iteration 300, loss -6.680961608886719
validation epoch 1, iteration 300, loss 0.4351377700805664
train epoch 1, iteration 350, loss -6.6309814453125
train epoch 1, iteration 400, loss -6.622739791870117
validation epoch 1, iteration 400, loss 0.4492071123123169
train epoch 1, iteration 450, loss -6.666097164154053
train epoch 1, iteration 500, loss -6.88223934173584
validation epoch 1, iteration 500, loss 0.4221831470489502
train epoch 1, iteration 550, loss -6.886283874511719
train epoch 2, iteration 0, loss -6.979663372039795
validation epoch 2, iteration 0, loss 0.4125290790557861
train epoch 2, iteration 50, loss -6.9322404861450195
train epoch 2, iteration 100, loss -6.933144569396973
validation epoch 2, iteration 100, loss 0.4177091604232788
train epoch 2, iteration 150, loss -7.1319379806518555
train epoch 2, iteration 200, loss -7.190121650695801
validation epoch 2, iteration 200, loss 0.4242622676849365
train epoch 2, iteration 250, loss -7.311491012573242
train epoch 2, iteration 300, loss -7.2029218673706055
validation epoch 2, iteration 300, loss 0.4155955057144165
train epoch 2, iteration 350, loss -7.342136859893799
train epoch 2, iteration 400, loss -7.450603485107422
validation epoch 2, iteration 400, loss 0.41313190784454346
train epoch 2, iteration 450, loss -7.5203022956848145
train epoch 2, iteration 500, loss -7.547580242156982
validation epoch 2, iteration 500, loss 0.40027192611694334
train epoch 2, iteration 550, loss -7.339109420776367
train epoch 3, iteration 0, loss -7.572210311889648
validation epoch 3, iteration 0, loss 0.3815405849456787
train epoch 3, iteration 50, loss -7.580746650695801
train epoch 3, iteration 100, loss -7.625940799713135
validation epoch 3, iteration 100, loss 0.37899040546417234
train epoch 3, iteration 150, loss -7.519951343536377
train epoch 3, iteration 200, loss -7.618701457977295
validation epoch 3, iteration 200, loss 0.40016488151550295
train epoch 3, iteration 250, loss -7.688297271728516
train epoch 3, iteration 300, loss -7.686755180358887
validation epoch 3, iteration 300, loss 0.43718506031036375
train epoch 3, iteration 350, loss -7.825117588043213
train epoch 3, iteration 400, loss -7.779886245727539
validation epoch 3, iteration 400, loss 0.38370880336761476
train epoch 3, iteration 450, loss -7.751431941986084
train epoch 3, iteration 500, loss -7.875187873840332
validation epoch 3, iteration 500, loss 0.38140913791656494
train epoch 3, iteration 550, loss -7.970419406890869
train epoch 4, iteration 0, loss -7.886210918426514
validation epoch 4, iteration 0, loss 0.3796230707168579
train epoch 4, iteration 50, loss -7.923266410827637
train epoch 4, iteration 100, loss -8.043701171875
validation epoch 4, iteration 100, loss 0.3727459282875061
train epoch 4, iteration 150, loss -8.046523094177246
